idReviser,0,rEmail,1,rInterest,2,rHealth,3,rAge,4,rEducation,5,dateT,6,flag,7,idGroup,8
110,110,A11BS3GFM9T4FJ,A11BS3GFM9T4FJ,2,2,2,2,2,2,2,2,"2019-08-17 23:22:21","2019-08-17 23:22:21",123,123,41,41
111,111,A11BS3GFM9T4FJ,A11BS3GFM9T4FJ,2,2,2,2,2,2,2,2,"2019-08-17 23:33:59","2019-08-17 23:33:59",123,123,41,41
112,112,A3DUPM4SSY7AT5,A3DUPM4SSY7AT5,1,1,1,1,2,2,,,"2019-08-18 02:10:05","2019-08-18 02:10:05",123,123,41,41
113,113,A3RCSO052XFJJJ,A3RCSO052XFJJJ,1,1,2,2,2,2,2,2,"2019-08-18 05:18:29","2019-08-18 05:18:29",123,123,41,41
114,114," COPIEDA2DAI5W9S1ET6H"," COPIEDA2DAI5W9S1ET6H",1,1,2,2,1,1,4,4,"2019-08-18 22:08:14","2019-08-18 22:08:14",123,123,131,131
115,115,A382IT3BF1UWLB,A382IT3BF1UWLB,1,1,1,1,2,2,,,"2019-08-18 22:10:20","2019-08-18 22:10:20",123,123,121,121
116,116,A2Z61PDUC6NCLT,A2Z61PDUC6NCLT,1,1,2,2,1,1,2,2,"2019-08-18 22:10:58","2019-08-18 22:10:58",123,123,141,141
117,117,A2QJNGKLAIMMAZ,A2QJNGKLAIMMAZ,2,2,2,2,2,2,4,4,"2019-08-18 22:12:03","2019-08-18 22:12:03",123,123,141,141
118,118,A1ST2X15PC6CE8,A1ST2X15PC6CE8,1,1,,,,,,,"2019-08-18 22:16:07","2019-08-18 22:16:07",123,123,141,141
119,119,AJX4ES1WIICR5,AJX4ES1WIICR5,1,1,,,,,,,"2019-08-18 22:24:51","2019-08-18 22:24:51",123,123,131,131
120,120,A1ST2X15PC6CE8,A1ST2X15PC6CE8,2,2,2,2,,,4,4,"2019-08-18 22:29:15","2019-08-18 22:29:15",123,123,131,131
121,121,A382IT3BF1UWLB,A382IT3BF1UWLB,1,1,1,1,2,2,4,4,"2019-08-18 22:34:07","2019-08-18 22:34:07",123,123,131,131
122,122,A1ST2X15PC6CE8,A1ST2X15PC6CE8,2,2,,,,,,,"2019-08-18 22:38:36","2019-08-18 22:38:36",123,123,121,121
123,123,A2U4LDPZF2P7BY,A2U4LDPZF2P7BY,1,1,2,2,2,2,3,3,"2019-08-18 22:39:09","2019-08-18 22:39:09",123,123,141,141
124,124,A382IT3BF1UWLB,A382IT3BF1UWLB,,,,,,,,,"2019-08-18 22:41:24","2019-08-18 22:41:24",123,123,121,121
125,125,A27P16LFLZGFPR,A27P16LFLZGFPR,,,,,,,,,"2019-08-18 22:46:14","2019-08-18 22:46:14",123,123,131,131
126,126,AXID3RPK6NZT6,AXID3RPK6NZT6,1,1,2,2,6,6,1,1,"2019-08-18 22:47:42","2019-08-18 22:47:42",123,123,121,121
127,127,AXID3RPK6NZT6,AXID3RPK6NZT6,1,1,2,2,6,6,1,1,"2019-08-18 22:48:44","2019-08-18 22:48:44",123,123,141,141
128,128," COPIEDA2DAI5W9S1ET6H"," COPIEDA2DAI5W9S1ET6H",,,,,,,,,"2019-08-18 23:00:17","2019-08-18 23:00:17",123,123,141,141
129,129,A2L3BRCUIILH4X,A2L3BRCUIILH4X,,,,,,,,,"2019-08-18 23:01:42","2019-08-18 23:01:42",123,123,121,121
130,130,AYANXOKRFW1ZD,AYANXOKRFW1ZD,1,1,2,2,1,1,4,4,"2019-08-18 23:08:07","2019-08-18 23:08:07",123,123,121,121
131,131,A27QIBL4MO6Z0X,A27QIBL4MO6Z0X,1,1,1,1,2,2,4,4,"2019-08-18 23:11:25","2019-08-18 23:11:25",123,123,141,141
132,132,AYANXOKRFW1ZD,AYANXOKRFW1ZD,1,1,2,2,1,1,4,4,"2019-08-18 23:25:33","2019-08-18 23:25:33",123,123,141,141
133,133,A3ATOX7LR6RKZA,A3ATOX7LR6RKZA,1,1,3,3,4,4,2,2,"2019-08-18 23:30:32","2019-08-18 23:30:32",123,123,141,141
134,134,A3ATOX7LR6RKZA,A3ATOX7LR6RKZA,1,1,,,,,,,"2019-08-18 23:31:14","2019-08-18 23:31:14",123,123,141,141
135,135,A3ATOX7LR6RKZA,A3ATOX7LR6RKZA,,,,,,,,,"2019-08-18 23:34:43","2019-08-18 23:34:43",123,123,131,131
136,136,A39K5DFHK6FCQH,A39K5DFHK6FCQH,1,1,1,1,2,2,3,3,"2019-08-18 23:50:25","2019-08-18 23:50:25",123,123,141,141
137,137,A1LTZXI26481HO,A1LTZXI26481HO,2,2,,,,,,,"2019-08-19 00:18:16","2019-08-19 00:18:16",123,123,121,121
138,138,A2L3BRCUIILH4X,A2L3BRCUIILH4X,,,,,,,,,"2019-08-19 00:30:13","2019-08-19 00:30:13",123,123,131,131
139,139,A2I3D7L2IAHHOL,A2I3D7L2IAHHOL,,,,,,,,,"2019-08-19 00:30:17","2019-08-19 00:30:17",123,123,131,131
140,140,A16IUSDJEU9MWL,A16IUSDJEU9MWL,3,3,3,3,1,1,1,1,"2019-08-19 00:45:53","2019-08-19 00:45:53",123,123,131,131
141,141,A2I3D7L2IAHHOL,A2I3D7L2IAHHOL,,,,,,,,,"2019-08-19 00:58:02","2019-08-19 00:58:02",123,123,131,131
142,142,A3DUPM4SSY7AT5,A3DUPM4SSY7AT5,1,1,,,1,1,3,3,"2019-08-19 01:40:43","2019-08-19 01:40:43",123,123,131,131
143,143,A3DUPM4SSY7AT5,A3DUPM4SSY7AT5,,,,,,,,,"2019-08-19 01:43:46","2019-08-19 01:43:46",123,123,121,121
144,144,AXMCEU9YWYSGH,AXMCEU9YWYSGH,3,3,2,2,,,2,2,"2019-08-19 01:53:40","2019-08-19 01:53:40",123,123,121,121
145,145,A35Q0ZG3C7ZFP,A35Q0ZG3C7ZFP,2,2,2,2,3,3,4,4,"2019-08-19 02:01:51","2019-08-19 02:01:51",123,123,121,121
146,146,A35Q0ZG3C7ZFP,A35Q0ZG3C7ZFP,2,2,,,,,4,4,"2019-08-19 02:04:43","2019-08-19 02:04:43",123,123,121,121
147,147,A35UN7D0NCA0NA,A35UN7D0NCA0NA,2,2,2,2,2,2,2,2,"2019-08-19 02:21:04","2019-08-19 02:21:04",123,123,121,121
148,148,A3V0E6DXN7G2L8,A3V0E6DXN7G2L8,1,1,2,2,1,1,3,3,"2019-08-19 02:24:28","2019-08-19 02:24:28",123,123,131,131
149,149,A35Q0ZG3C7ZFP,A35Q0ZG3C7ZFP,,,,,,,,,"2019-08-19 02:25:51","2019-08-19 02:25:51",123,123,141,141
150,150,A2I3D7L2IAHHOL,A2I3D7L2IAHHOL,,,,,,,,,"2019-08-19 02:27:13","2019-08-19 02:27:13",123,123,141,141
151,151,A3V0E6DXN7G2L8,A3V0E6DXN7G2L8,1,1,2,2,1,1,3,3,"2019-08-19 02:32:39","2019-08-19 02:32:39",123,123,121,121
152,152,A2L3BRCUIILH4X,A2L3BRCUIILH4X,,,,,,,,,"2019-08-19 02:43:30","2019-08-19 02:43:30",123,123,131,131
153,153,AENGDOS693JKO,AENGDOS693JKO,1,1,,,,,,,"2019-08-19 03:26:25","2019-08-19 03:26:25",123,123,131,131
154,154,a3avffr73u39yp,a3avffr73u39yp,2,2,2,2,2,2,1,1,"2019-08-19 03:35:56","2019-08-19 03:35:56",123,123,141,141
155,155,AFXH4S8PGNQB0,AFXH4S8PGNQB0,2,2,1,1,,,,,"2019-08-19 04:01:14","2019-08-19 04:01:14",123,123,121,121
156,156,AENGDOS693JKO,AENGDOS693JKO,1,1,,,,,,,"2019-08-19 04:22:15","2019-08-19 04:22:15",123,123,121,121
157,157,a3avffr73u39yp,a3avffr73u39yp,2,2,2,2,2,2,1,1,"2019-08-19 04:26:34","2019-08-19 04:26:34",123,123,131,131
158,158,A3GU1JODY168LO,A3GU1JODY168LO,2,2,2,2,5,5,3,3,"2019-08-19 04:28:40","2019-08-19 04:28:40",123,123,121,121
159,159,a3avffr73u39yp,a3avffr73u39yp,2,2,2,2,2,2,1,1,"2019-08-19 04:34:28","2019-08-19 04:34:28",123,123,121,121
160,160,A1B4477M694JWH,A1B4477M694JWH,1,1,3,3,1,1,1,1,"2019-08-19 05:02:48","2019-08-19 05:02:48",123,123,131,131
161,161," COPIEDA13QJNRZBYBXUX"," COPIEDA13QJNRZBYBXUX",1,1,1,1,2,2,4,4,"2019-08-19 05:57:15","2019-08-19 05:57:15",123,123,131,131
162,162,A13QJNRZBYBXUX,A13QJNRZBYBXUX,1,1,1,1,2,2,4,4,"2019-08-19 06:05:58","2019-08-19 06:05:58",123,123,121,121
163,163,AIP4QLDLZ3E5A,AIP4QLDLZ3E5A,1,1,,,,,,,"2019-08-19 06:23:13","2019-08-19 06:23:13",123,123,121,121
164,164,A2TZH3L7RO6RFS,A2TZH3L7RO6RFS,2,2,2,2,2,2,3,3,"2019-08-19 08:13:56","2019-08-19 08:13:56",123,123,121,121
165,165,A11W6Z0AFXSJ6C,A11W6Z0AFXSJ6C,1,1,,,,,,,"2019-08-19 10:05:02","2019-08-19 10:05:02",123,123,141,141
166,166,A1BCP23KLOTJ0F,A1BCP23KLOTJ0F,1,1,1,1,2,2,,,"2019-08-19 10:59:26","2019-08-19 10:59:26",123,123,121,121
